,name_0,name_1,name_2,symbol_0,symbol_1,symbol_2,region_0,region_1,region_2,currencies_0,currencies_1,currencies_2
iShares Edge MSCI USA Momentum Factor ETF,iShares Edge MSCI USA Momentum Factor ETF,MTU Aero Engines AG,Manning & Napier Target 2045 Series Class R,MTUM,MTUAY,MTURX,United States,United States,United States,USD,USD,USD
Munich Re Placement,Munich Re Placement,FUNDO DE INVESTIMENTO EXCLUSIVO RENDA FIXA MUNICH RE DO BRASIL,FUNDO DE INVESTIMENTO EXCLUSIVO RENDA FIXA MUNICH RE DO BRASIL,0P00000V9I.FRK,HSBCMUNICHRE.SAO,F00000N98F.SAO,Frankfurt,Brazil/Sao Paolo,Brazil/Sao Paolo,EUR,BRL,BRL
Nasdaq Inc.,Nasdaq Inc.,iShares Nasdaq Biotechnology ETF,Global X NASDAQ 100 Covered Call ETF,NDAQ,IBB,QYLD,United States,United States,United States,USD,USD,USD
Nelnet Inc.,Nelnet Inc.,NEL ASA,Loomis Sayles Limited Term Government and Agency Fund Class Y,NNI,NLLSF,NELYX,United States,United States,United States,USD,USD,USD
NESTLE,NESTLE,Nestle S.A.,Nestle S.A.,NESM.KLA,NSRGY,NSRGF,Malaysia,United States,United States,MYR,USD,USD
Netflix Inc.,Netflix Inc.,Netflix Inc.,Netflix Inc.,NFLX,NFLX.MEX,NFC.DEX,United States,Mexico,XETRA,USD,MXP,EUR
NIKE Inc.,NIKE Inc.,NIKE Inc.,NIKE Inc.,NKE,NKE.DEX,NKE.ARG,United States,XETRA,Argentina,USD,EUR,ARS
Nikola Corporation,Nikola Corporation,Nikola Corporation,Nikola Corporation,NKLAW,NKLA,8NI.FRK,United States,United States,Frankfurt,USD,USD,EUR
Nokia Corporation,Nokia Corporation,Nokia Corporation,Nokian Renkaat Oyj,NOK,NOKBF,NKRKY,United States,United States,United States,USD,USD,USD
Northrop Grumman Corporation,Northrop Grumman Corporation,Northrop Grumman Corporation,NORTHROP GRUMMAN DL 1,NOC,NOCO.VIE,NTH.MUN,United States,Vienna,Munich,USD,EUR,EUR
NVIDIA Corporation,NVIDIA Corporation,NVIDIA Corporation,NVIDIA Corporation,NVDA,NVDA.MEX,NVD.DEX,United States,Mexico,XETRA,USD,MXP,EUR
Old Harbor Bank,Old Harbor Bank,OHB SE,OHB SE  O.N.,OHBK,OHB.DEX,OHB.DUS,United States,XETRA,Dusseldorf,USD,EUR,EUR
Oracle Corporation,Oracle Corporation,Oracle Healthcare Acquisition Corp.,Oracle Corporation Japan,ORCL,OHAQ,OCLCF,United States,United States,United States,USD,USD,USD
PayPal Holdings Inc. Reg. Share,PayPal Holdings Inc. Reg. Share,PayPal Holdings Inc.,PayPal Holdings Inc.,2PP.STG,PYPL,2PP.DEX,Stuttgart,United States,XETRA,EUR,USD,EUR
The Procter & Gamble Company,The Procter & Gamble Company,Strats Trust For Procter & Gambel Security CTF 2006-1,The Procter & Gamble Company,PG,GJR,PG.ARG,United States,United States,Argentina,USD,USD,ARS
Prudential plc,Prudential plc,Prudential Financial Inc.,Prudential Financial Inc. JR SUB NT 53,PUK,PRU,PRH,United States,United States,United States,USD,USD,USD
Puma Biotechnology Inc.,Puma Biotechnology Inc.,PUMA SE,PUMA SE,PBYI,PUMSY,PMMAF,United States,United States,United States,USD,USD,USD
Qantas Airways Limited,Qantas Airways Limited,Qantas Airways Limited,Qantas Airways Limited,QABSY,QUBSF,QAN.FRK,United States,United States,Frankfurt,USD,USD,EUR
Rio Tinto Group,Rio Tinto Group,Riot Blockchain Inc.,RioCan Real Estate Investment Trust,RIO,RIOT,RIOCF,United States,United States,United States,USD,USD,USD
Roche Holding AG,Roche Holding AG,Invesco Oppenheimer Rochester High Yield Municipal Fund Class A,Roche Holding AG,RHHBY,ORNAX,RHHBF,United States,United States,United States,USD,USD,USD
Rolls-Royce Holdings plc,Rolls-Royce Holdings plc,Rolls-Royce Holdings plc,Rolls-Royce Holdings plc,RLLCF,RYCEY,RYCEF,United States,United States,United States,USD,USD,USD
ROYAL HOLDINGS Co. Ltd.,ROYAL HOLDINGS Co. Ltd.,Royalty Pharma plc,Royal Caribbean Cruises Ltd.,8179.TOK,RPRX,RCL,Tokyo,United States,United States,JPY,USD,USD
Pacer Benchmark Retail Real Estate SCTR ETF,Pacer Benchmark Retail Real Estate SCTR ETF,Rattler Midstream LP,Russell Investments Tax-Managed U.S. Large Cap Fund Class C,RTL,RTLR,RTLCX,United States,United States,United States,USD,USD,USD
RWE Aktiengesellschaft,RWE Aktiengesellschaft,Direxion MSCI Emerging Over Developed Markets ETF,RWE Aktiengesellschaft,RWEOY,RWED,RWNFF,United States,United States,United States,USD,USD,USD
Safran SA,Safran SA,Safran SA,Safran SA,SAFRY,SAFRF,SAF.PAR,United States,United States,Paris,USD,USD,EUR
